iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AJO,SAU_gadm36,SAU.4_1_gadm36,,,,
AJR,SWE_gadm36,SWE.10_1_gadm36,SWE.10.3_1_gadm36,,,
AJS,MEX_gadm36,MEX.2_1_gadm36,MEX.2.3_1_gadm36,,,
AJU,BRA_gadm36,BRA.26_1_gadm36,BRA.26.3_1_gadm36,BRA.26.3.1_1_gadm36,,
AJY,NER_gadm36,NER.1_1_gadm36,NER.1.3_1_gadm36,NER.1.3.1_1_gadm36,,
AKA,CHN_gadm36,CHN.22_1_gadm36,CHN.22.1_1_gadm36,CHN.22.1.1_1_gadm36,,
AKB,USA_gadm36,USA.2_1_gadm36,USA.2.2_1_gadm36,,,
AKC,USA_gadm36,USA.36_1_gadm36,USA.36.28_1_gadm36,,,
AKD,IND_gadm36,IND.20_1_gadm36,IND.20.2_1_gadm36,IND.20.2.1_1_gadm36,,
AKE,GAB_gadm36,GAB.2_1_gadm36,GAB.2.2_1_gadm36,,,
AKF,LBY_gadm36,LBY.6_1_gadm36,,,,
AKG,PNG_gadm36,PNG.18_1_gadm36,PNG.18.2_1_gadm36,,,
AKH,SAU_gadm36,SAU.7_1_gadm36,,,,
AKI,USA_gadm36,USA.2_1_gadm36,USA.2.4_1_gadm36,,,
AKJ,JPN_gadm36,JPN.12_1_gadm36,JPN.12.7_1_gadm36,,,
AKK,USA_gadm36,USA.2_1_gadm36,USA.2.13_1_gadm36,,,
AKL,NZL_gadm36,NZL.1_1_gadm36,NZL.1.1_1_gadm36,,,
AKM,TCD_gadm36,TCD.18_1_gadm36,TCD.18.2_1_gadm36,TCD.18.2.8_1_gadm36,,
AKN,USA_gadm36,USA.2_1_gadm36,USA.2.5_1_gadm36,,,
AKO,USA_gadm36,USA.6_1_gadm36,USA.6.62_1_gadm36,,,
AKP,USA_gadm36,USA.2_1_gadm36,USA.2.17_1_gadm36,,,
AKQ,IDN_gadm36,IDN.17_1_gadm36,IDN.17.4_1_gadm36,IDN.17.4.25_1_gadm36,IDN.17.4.25.6_1_gadm36,
AKR,NGA_gadm36,NGA.29_1_gadm36,NGA.29.6_1_gadm36,,,
AKS,SLB_gadm36,SLB.7_1_gadm36,SLB.7.6_1_gadm36,,,
AKT,XAD_gadm36,XAD.1_1_gadm36,,,,
AKU,CHN_gadm36,CHN.28_1_gadm36,CHN.28.1_1_gadm36,CHN.28.1.1_1_gadm36,,
AKV,CAN_gadm36,CAN.11_1_gadm36,CAN.11.84_1_gadm36,CAN.11.84.2_1_gadm36,,
